Year,Country Name,Country Code,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)","Cause of death, by injury (% of total)","Cause of death, by non-communicable diseases (% of total)",Current health expenditure (% of GDP),Diabetes prevalence (% of population ages 20 to 79),"Government expenditure on education, total (% of GDP)",Income share held by highest 10%,Income share held by lowest 10%,Income share held by second 20%,"Life expectancy at birth, total (years)",Prevalence of undernourishment (% of population),"Unemployment, total (% of total labor force) (modeled ILO estimate)",population(in thousand),all_causes(in thousand),diabetes_mellitus(in thousand),%death by diabetes,alzheimer_and_other_dementia (in thousand),%death by alzheimer_and_other_dementia,cardiovascular_diseases (in thousand),%death by cardiovascular_diseases,asthma (in thousand),%death by asthma,kidney_diseases (in thousand),%death by kidney_diseases,Income_share_bottom 40%,Income_share_top 10%
2000,Botswana,BWA,65.79324959,7.427854499,26.77889451,6.10838556,10.8,10.67858982,53.1,0.8,4.6,52.263,23.7,15.88,1677.399,26.96135609,0.328766954,1.219400659,0.073960509,0.274320433,1.858711054,6.893982067,0.171794073,0.63718632,0.150863709,0.559555344,6.361000061,52.53699875
2010,Botswana,BWA,52.40566543,9.426219426,38.16811609,6.26718187,10.8,9.825300217,49.6,1.1,5.7,59.137,22,17.86,2033.117,21.44713004,0.641415632,2.990682816,0.124462896,0.580324245,2.947839162,13.74467892,0.239002295,1.114378914,0.297317809,1.386282494,7.097000122,50.51300049
2015,Botswana,BWA,45.92601957,9.53532,44.53866141,6.10287762,10.8,8.394579887,41.5,1.5,7,63.215,20.3,18.93,2203.292,18.7247905,0.709317337,3.788118948,0.147659457,0.788577351,2.953150041,15.77133822,0.202599292,1.081984294,0.327806511,1.750655161,8.699999809,45.12900162
2019,Botswana,BWA,44.90445318,9.385218149,45.71032775,6.12193203,10.8,8.398996353,41.5,1.5,7,67.167,22.7,20.094,2332.088,17.11232625,0.664014917,3.880331099,0.164611657,0.961947867,2.70135262,15.78600466,0.176372369,1.030674418,0.328538793,1.919895567,9.020999908,44.05199814
2020,Botswana,BWA,44.90445318,9.385218149,45.71032775,6.1213398,10.8,8.058336258,41.5,1.5,7,67.643,22.9,21.017,2365.906,17.2576179,0.744804994,4.315804176,0.185802256,1.076639066,3.025190945,17.52959744,0.192074408,1.112983316,0.367168682,2.127574524,9.020999908,44.05199814
2021,Botswana,BWA,44.90445318,9.385218149,45.71032775,6.30754805,5.2,8.058336258,41.5,1.5,7,63.303,24.2,23.106,2401.455,22.70167589,0.678211269,2.98749428,0.142675459,0.62847985,2.540540875,11.19098382,0.171248816,0.754344378,0.312551645,1.376777849,9.020999908,44.05199814
2000,Brazil,BRA,18.00923769,12.85099545,69.1397668,8.33457184,10.1,3.948930025,46.1,0.8,6,69.584,10.4,10.889,174018.292,947.4449535,31.47142956,3.321715889,3.133399992,0.33072106,287.5471088,30.34974304,3.097828644,0.32696661,20.02566063,2.113648984,10.87699986,42.14099884
2010,Brazil,BRA,13.82408275,13.15749173,73.0184282,7.94516611,10.1,5.648799896,42.2,1,7.2,73.779,3.5,8.422,193701.933,1127.869438,45.83821621,4.064142062,15.63707445,1.38642594,338.054475,29.97283761,2.807287504,0.248901815,28.78865193,2.552480896,12.1590004,38.9679985
2015,Brazil,BRA,14.17620449,12.45394237,73.36985534,8.90929985,10.1,6.24105978,40.9,1.2,7.7,75.106,2.5,8.538,201675.538,1290.514361,49.80295647,3.85915554,24.71646114,1.915241076,372.4102509,28.85750536,2.418972465,0.187442506,36.69355095,2.843327595,12.35400009,37.86500168
2019,Brazil,BRA,13.70864088,11.55365978,74.73769835,9.61449146,10.1,5.963469982,42,0.9,7.3,75.809,2.5,11.936,207455.449,1403.393155,55.67305643,3.967032063,35.77434228,2.549131877,391.6182652,27.90510013,2.687191672,0.19147818,44.15755195,3.146484774,11.52900028,38.93600082
2020,Brazil,BRA,13.70864088,11.55365978,74.73769835,9.62326527,10.1,5.771500111,39.5,1.6,8.7,74.506,3.4,13.697,208660.847,1633.856785,63.775308,3.903359744,36.7174105,2.247284514,390.1675678,23.88015715,3.027973432,0.185326735,46.9273232,2.872180943,13.02999973,37.43999863
2021,Brazil,BRA,13.70864088,11.55365978,74.73769835,9.63646507,8.8,5.49698019,41.6,1,7.5,73.038,4.2,13.158,209550.286,1906.695068,65.35022316,3.427408203,39.41990001,2.067446477,411.6338516,21.58886644,2.716633823,0.142478673,50.9561112,2.672483506,11.75899982,38.35599899
2000,Brunei Darussalam,BRN,9.533281316,10.37206047,80.09465843,2.5479064,9.4,3.705909967,,,,74.017,,5.459,326.445,0.979466532,0.071734082,7.323790987,0.001381619,0.141058276,0.296984421,30.32103821,0.012427796,1.268833147,0.053589054,5.471249089,20.15800095,23.31599998
2010,Brunei Darussalam,BRN,11.82986836,6.463524426,81.70660769,2.27826095,9.4,2.046610117,,,,74.82,,6.455,392.354,1.208764922,0.088656882,7.33450153,0.004696623,0.388547262,0.361103623,29.87376753,0.011364111,0.940142367,0.047285942,3.911922112,22.14699936,21.62100029
2015,Brunei Darussalam,BRN,14.04897067,5.813970086,80.13706019,2.38708901,9.4,3.353189945,,,,74.88,,7.726,422.233,1.543741462,0.114569468,7.421545016,0.024226065,1.56930845,0.407047336,26.36758458,0.011648233,0.754545559,0.065229987,4.225447638,21.96899986,21.99699974
2019,Brunei Darussalam,BRN,10.34098073,4.989989237,84.66903035,2.2277422,9.4,4.425409794,,,,75.049,,6.6,442.7,1.844689794,0.138623846,7.514751055,0.061095271,3.311953648,0.554411397,30.05445137,0.011944451,0.647504572,0.092213725,4.998874353,21.82500076,22.17499924
2020,Brunei Darussalam,BRN,10.34098073,4.989989237,84.66903035,2.45178461,9.4,4.425409794,,,,75.114,,7.409,447.418,1.915741311,0.145964566,7.619221116,0.057560819,3.004623794,0.572460687,29.88194096,0.011301201,0.58991269,0.095447231,4.982260916,21.82500076,22.17499924
2021,Brunei Darussalam,BRN,10.34098073,4.989989237,84.66903035,2.14642429,11.1,4.425409794,,,,74.869,,4.905,451.737,1.966334242,0.146662141,7.458657735,0.054839983,2.788945128,0.570499777,29.01336734,0.011371955,0.578332763,0.095273475,4.845232979,21.82500076,22.17499924
